x,y,z
155.39459228515625,53.72718048095703,1.5
94.06688690185547,130.36495971679688,1.5
333.0931091308594,132.58834838867188,1.5
332.96343994140625,58.307125091552734,1.5
333.07708740234375,197.98968505859375,1.5
94.04904174804688,56.599552154541016,1.5
336.0527038574219,324.8895568847656,1.5
337.58447265625,3.5935230255126953,1.5
157.0355224609375,3.6446096897125244,1.5
94.0733871459961,196.6002960205078,1.5
91.48057556152344,3.715848922729492,1.5
89.89273834228516,324.82220458984375,1.5
